cadi,pub,paper,lumi,category,name,model,comment,finalstate,parameter,lower,upper,flag
B2G-18-002,1906.05977,,77.3,DIB,VVah,$\mathrm{W'} \to \mathrm{WZ} \to q\bar{q} q\bar{q}$,HVT model B,q\bar{q} q\bar{q},$M_{\mathrm{W}^\prime}$,0,3.80,1
B2G-17-005,1803.03838,10.1007/JHEP07(2018)075,35.9,DIB,VZnn,$\mathrm{W'} \to \mathrm{WZ} \to \nu\nu q\bar{q}$,HVT model B,\nu\nu q\bar{q},$M_{\mathrm{W}^\prime}$,0,3.40,1
B2G-16-029,1802.09407,10.1007/JHEP05(2018)088,35.9,DIB,VWln,$\mathrm{W'} \to \mathrm{WZ} \to \ell\nu q\bar{q}$,HVT model B,\ell\nu q\bar{q},$M_{\mathrm{W}^\prime}$,0,3.00,1
B2G-17-013,1803.10093,10.1007/JHEP09(2018)101,35.9,DIB,VZll,$\mathrm{W'} \to \mathrm{WZ} \to \ell\ell q\bar{q}$,HVT model B,\ell\ell q\bar{q},$M_{\mathrm{W}^\prime}$,0,2.70,1
B2G-17-002,1707.01303,10.1140/epjc/s10052-017-5192-z,35.9,DIB,VHah,$\mathrm{W'} \to \mathrm{WH} \to q\bar{q} b\bar{b}$,HVT model B,q\bar{q} b\bar{b},$M_{\mathrm{W}^\prime}$,0,3.15,1
B2G-17-004,1807.02826,10.1007/JHEP11(2018)172,35.9,DIB,WHln,$\mathrm{W'} \to \mathrm{WH} \to \ell\nu b\bar{b}$,HVT model B,\ell\nu b\bar{b},$M_{\mathrm{W}^\prime}$,0,2.80,1
B2G-17-006,1808.01365,10.1007/JHEP01(2019)051,35.9,DIB,ZHtt,$\mathrm{W'} \to \mathrm{WH} \to q\bar{q} \tau\tau$,HVT model B,q\bar{q} \tau\tau,$M_{\mathrm{W}^\prime}$,0,2.60,1
B2G-18-006,1906.00057,,35.9,DIB,Combi,W' combination (2016),HVT model B,"all\,final\,states",$M_{\mathrm{W}^\prime}$,0,4.30,1
B2G-18-002,1906.05977,,77.3,DIB,VVah,$\mathrm{Z'} \to \mathrm{WW} \to q\bar{q} q\bar{q}$,HVT model B,q\bar{q} q\bar{q},$M_{\mathrm{Z}^\prime}$,0,3.50,1
B2G-17-002,1707.01303,10.1140/epjc/s10052-017-5192-z,35.9,DIB,VHah,$\mathrm{Z'} \to \mathrm{ZH} \to q\bar{q} b\bar{b}$,HVT model B,q\bar{q} b\bar{b},$M_{\mathrm{Z}^\prime}$,0,2.30,1
B2G-17-004,1807.02826,10.1007/JHEP11(2018)172,35.9,DIB,ZHnn,$\mathrm{Z'} \to \mathrm{ZH} \to \nu\nu b\bar{b}$,HVT model B,\nu\nu b\bar{b},$M_{\mathrm{Z}^\prime}$,0,2.10,1
B2G-17-004,1807.02826,10.1007/JHEP11(2018)172,35.9,DIB,ZHll,$\mathrm{Z'} \to \mathrm{ZH} \to \ell\ell b\bar{b}$,HVT model B,\ell\ell b\bar{b},$M_{\mathrm{Z}^\prime}$,0,2.40,1
B2G-17-006,1808.01365,10.1007/JHEP01(2019)051,35.9,DIB,WHtt,$\mathrm{Z'} \to \mathrm{ZH} \to q\bar{q} \tau\tau$,HVT model B,q\bar{q} \tau\tau,$M_{\mathrm{Z}^\prime}$,0,1.80,1
B2G-18-006,1906.00057,,35.9,DIB,Combi,Z' combination (2016),HVT model B,"all\,final\,states",$M_{\mathrm{Z}^\prime}$,0,3.70,1
B2G-17-002,1707.01303,10.1140/epjc/s10052-017-5192-z,35.9,DIB,VHah,$\mathrm{V'} \to \mathrm{VH} \to q\bar{q} b\bar{b}$,HVT model B,q\bar{q} b\bar{b},$M_{\mathrm{V}^\prime}$,0,3.30,1
B2G-17-004,1807.02826,10.1007/JHEP11(2018)172,35.9,DIB,VHsl,"$\mathrm{V'} \to \mathrm{VH} \to (\nu\nu, \ell\nu, \ell\ell) b\bar{b}$",HVT model B,"(\nu\nu, \ell\nu, \ell\ell) b\bar{b}",$M_{\mathrm{V}^\prime}$,0,2.90,1
B2G-17-006,1808.01365,10.1007/JHEP01(2019)051,35.9,DIB,VHtt,$\mathrm{V'} \to \mathrm{VH} \to q\bar{q} \tau\tau$,HVT model B,q\bar{q} \tau\tau,$M_{\mathrm{V}^\prime}$,0,2.80,1
B2G-18-006,1906.00057,,35.9,DIB,Combi,V' combination (2016),HVT model B,"all\,final\,states",$M_{\mathrm{V}^\prime}$,0,4.50,1
B2G-16-029,1802.09407,10.1007/JHEP05(2018)088,35.9,DIB,VWln,$\mathrm{G} \to \mathrm{WW} \to \ell\nu q\bar{q}$,"Bulk $\mathrm{G}, k/\overline{M}_{\mathrm{Pl}} = 0.5$",\ell\nu q\bar{q},$M_{\mathrm{G}}$,0,1.07,1
B2G-16-023,1711.0437,10.1007/JHEP03(2018)003,35.9,DIB,ZZal,$\mathrm{G} \to \mathrm{ZZ} \to \ell\ell\nu\nu$,"Bulk $\mathrm{G}, k/\overline{M}_{\mathrm{Pl}} = 0.5$",\ell\ell \nu\nu,$M_{\mathrm{G}}$,0,0.82,1
B2G-18-006,1906.00057,,35.9,DIB,Combi,G combination (2016),"Bulk $\mathrm{G}, k/\overline{M}_{\mathrm{Pl}} = 0.5$","all\,final\,states",$M_{\mathrm{G}}$,0,0.85,1
